original_text,hindi,kannada,tamil,telugu,malayalam
Drink and drive,नशे में गाड़ी चलाना,ಮದ್ಯಪಾನ ಮಾಡಿ ವಾಹನ ಚಲಾಯಿಸುವುದು,குடிபோதையில் வாகனம் ஓட்டுதல்,తాగి వాహనం నడపడం,മദ്യപിച്ച് വാഹനമോടിക്കൽ
Rash Driving,लापरवाह ड्राइविंग,ಅಜಾಗರೂಕ ಚಾಲನೆ,கவனக்குறைவான ஓட்டம்,నిర్లక్ష్యపు డ్రైవింగ్,അശ്രദ്ധമായ വാഹനമോടിക്കൽ
Pickup or Drop Issues,पिकअप या ड्रॉप समस्याएं,ಪಿಕಪ್ ಅಥವಾ ಡ್ರಾಪ್ ಸಮಸ್ಯೆಗಳು,ஏற்றுதல் அல்லது இறக்குதல் சிக்கல்கள்,పికప్ లేదా డ్రాప్ సమస్యలు,പിക്കപ്പ് അല്ലെങ്കിൽ ഡ്രോപ്പ് സംബന്ധമായ പ്രശ്നങ്ങൾ
Smoking / Tobacco / Drugs,धूम्रपान / तंबाकू / ड्रग्स,ಧೂಮಪಾನ / ತಂಬಾಕು / ಮಾದಕ ದ್ರವ್ಯಗಳು,புகைபிடித்தல் / புகையிலை / போதைப்பொருட்கள்,ధూమపానం / పొగాకు / మాదక ద్రవ్యాలు,പുകവലി / പുകയില / മയക്കുമരുന്ന്
Find a Lost Item,खोई हुई वस्तु ढूंढें,ಕಳೆದುಹೋದ ವಸ್ತುಗಳನ್ನು ಹುಡುಕಿ,காணாமல் போன பொருளைக் கண்டுபிடிக்கவும்,పోగొట్టుకున్న వస్తువును కనుగొనండి,നഷ്ടപ്പെട്ട വസ്തു കണ്ടെത്തുക
I lost something,मैंने कुछ खो दिया,ನಾನು ಏನನ್ನೋ ಕಳೆದುಕೊಂಡೆ,நான் ஏதோ தொலைத்துவிட்டேன்,నేను ఏదో పోగొట్టుకున్నాను,വസ്തു നഷ്ടപ്പെട്ടു 
Call the driver,ड्राइवर को कॉल करें,ಚಾಲಕನಿಗೆ ಕರೆ ಮಾಡಿ,ஓட்டுநரை அழைக்கவும்,డ్రైవర్‌కి కాల్ చేయండి,ഡ്രൈവറെ വിളിക്കുക
Friend/Relative lost something,मित्र/रिश्तेदार ने कुछ खो दिया,ಸ್ನೇಹಿತ/ಸಂಬಂಧಿ ಏನನ್ನೋ ಕಳೆದುಕೊಂಡರು,நண்பர்/உறவினர் ஏதோ தொலைத்துவிட்டார்,స్నేహితుడు/బంధువు ఏదో పోగొట్టుకున్నారు,സുഹൃത്തതിന് / ബന്ധുവിന് വസ്തു നഷ്ടപ്പെട്ടു
AC / Vehicle Issues,एसी / वाहन संबंधी समस्याएं,ಎಸಿ / ವಾಹನ ಸಮಸ್ಯೆಗಳು,ஏசி / வாகன சிக்கல்கள்,ఏసీ / వాహన సమస్యలు,എസി / വാഹന സംബന്ധമായ പ്രശ്നങ്ങൾ
AC was not working,एसी काम नहीं कर रहा था,ಎಸಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿರಲಿಲ್ಲ,ஏசி வேலை செய்யவில்லை,ఏసీ పని చేయలేదు,എസി പ്രവർത്തിച്ചിരുന്നില്ല
Driver refused to turn on the AC,ड्राइवर ने एसी चालू करने से मना कर दिया,ಚಾಲಕ ಎಸಿ ಆನ್ ಮಾಡಲು ನಿರಾಕರಿಸಿದ,ஏசியை இயக்க ஓட்டுநர் மறுத்துவிட்டார்,డ్రైవర్ ఏసీ ఆన్ చేయడానికి నిరాకరించాడు,എസി ഓൺ ചെയ്യാൻ ഡ്രൈവർ വിസമ്മതിച്ചു
Unclean / Unhygienic Vehicle,अस्वच्छ / अस्वास्थ्यकर वाहन,ಅಶುದ್ಧ / ಅನಾರೋಗ್ಯಕರ ವಾಹನ,அசுத்தமான / சுகாதாரமற்ற வாகனம்,అపరిశుభ్రమైన / అనారోగ్యకరమైన వాహనం,വൃത്തിഹീനമായ വാഹനം
Vehicle unsafe / broke down,असुरक्षित वाहन / खराब हो गया,ವಾಹನ ಅಸುರಕ್ಷಿತ / ಕೆಟ್ಟುಹೋಯಿತು,வாகனம் பாதுகாப்பற்றது / பழுதடைந்தது,వాహనం అసురక్షితం / పాడైపోయింది,സുരക്ഷിതമല്ലാത്ത വാഹനം / വാഹനം തകരാറിലായി 
Vehicle mismatch,वाहन बेमेल,ವಾಹನ ಹೊಂದಾಣಿಕೆಯಾಗುವುದಿಲ್ಲ,வாகன பொருத்தமின்மை,వాహన అసంబద్ధత,വാഹനം/രജിസ്‌ട്രേഷൻ നമ്പർ പൊരുത്തക്കേട്
Report a Safety Issue,सुरक्षा समस्या की रिपोर्ट करें,ಸುರಕ್ಷತಾ ಸಮಸ್ಯೆಯನ್ನು ವರದಿ ಮಾಡಿ,பாதுகாப்பு சிக்கலைப் புகாரளிக்கவும்,భద్రతా సమస్యను నివేదించండి,സുരക്ഷാ പ്രശ്നം റിപ്പോർട്ട് ചെയ്യുക
Drink and drive,नशे में गाड़ी चलाना,ಮದ್ಯಪಾನ ಮಾಡಿ ವಾಹನ ಚಲಾಯಿಸುವುದು,குடித்துவிட்டு வாகனம் ஓட்டுதல்,తాగి వాహనం నడపడం,മദ്യപിച്ച് വാഹനമോടിക്കൽ
Met with an accident,दुर्घटना हो गई,ಅಪಘಾತಕ್ಕೆ ಒಳಗಾಯಿತು,விபத்துக்குள்ளானது,ప్రమాదానికి గురైంది,അപകടം സംഭവിച്ചു
Sexual Harrassment,यौन उत्पीड़न,ಲೈಂಗಿಕ ಕಿರುಕುಳ,பாலியல் துன்புறுத்தல்,లైంగిక వేధింపు,ലൈംഗിക പീഡനം
Physical Fights,शारीरिक झगड़े,ದೈಹಿಕ ಜಗಳಗಳು,உடல் ரீதியான சண்டைகள்,శారీరక ఘర్షణలు,ശാരീരിക സംഘർഷങ്ങൾ
Extra Person in the vehicle,वाहन में अतिरिक्त व्यक्ति,ವಾಹನದಲ್ಲಿ ಹೆಚ್ಚುವರಿ ವ್ಯಕ್ತಿ,வாகனத்தில் கூடுதல் நபர்,వాహనంలో అదనపు వ్యక్తి,വാഹനത്തിൽ അധിക വ്യക്തി
App Issues,ऐप संबंधित समस्याएं,ಅಪ್ಲಿಕೇಶನ್ ಸಮಸ್ಯೆಗಳು,செயலி சிக்கல்கள்,యాప్ సమస్యలు,ആപ്പിലെ പ്രശ്നങ്ങൾ
Stuck on previous ride,पिछली सवारी पर अटका हुआ,ಹಿಂದಿನ ಪ್ರಯಾಣದಲ್ಲಿ ಸಿಕ್ಕಿಹಾಕಿಕೊಂಡಿದೆ,முந்தைய பயணத்தில் சிக்கியுள்ளது,మునుపటి ప్రయాణంలో చిక్కుకుపోయింది,മുൻപത്തെ ട്രിപ്പ് അവസാനിച്ചിട്ടില്ല
Location not found or inaccurate,स्थान नहीं मिला या ग़लत है,ಸ್ಥಳ ಕಂಡುಬಂದಿಲ್ಲ ಅಥವಾ ಅಸಮರ್ಪಕವಾಗಿದೆ,இருப்பிடம் கண்டறியப்படவில்லை அல்லது துல்லியமற்றது,స్థానం కనుగొనబడలేదు లేదా అసంపూర్ణంగా ఉంది,സ്ഥാനം കണ്ടെത്താനായില്ല അല്ലെങ്കിൽ കൃത്യമല്ല
My app is not responding,मेरा ऐप प्रतिक्रिया नहीं दे रहा है,ನನ್ನ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತಿಲ್ಲ,எனது செயலி பதிலளிக்கவில்லை,నా యాప్ స్పందించడం లేదు,എന്റെ ആപ്പ് പ്രതികരിക്കുന്നില്ല
Account Related,खाता संबंधित,ಖಾತೆ ಸಂಬಂಧಿತ,கணக்கு தொடர்பானது,ఖాతా సంబంధిత,അക്കൗണ്ട് സംബന്ധമായ
Unable to login,लॉगिन करने में असमर्थ,ಲಾಗಿನ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ,உள்நுழைய முடியவில்லை,లాగిన్ చేయలేకపోతున్నాను,ലോഗിൻ ചെയ്യാൻ കഴിയുന്നില്ല
Account is blocked,खाता ब्लॉक हो गया है,ಖಾತೆಯನ್ನು ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ,கணக்கு முடக்கப்பட்டுள்ளது,ఖాతా బ్లాక్ చేయబడింది,അക്കൗണ്ട് ബ്ലോക്ക് ആയിരിക്കുന്നു
Other,अन्य,ಇತರೆ,மற்றவை,ఇతర,മറ്റുള്ളവ
